"","x"
"857","Spirelytha"
"858","Spirifer"
"859","Spiriferella"
"860","Spiriferellina"
"861","Spiriferina"
"862","Spiriferinaella"
"863","Spirigerella"
"864","Spirigerina"
"865","Spirinella"
"866","Spondylopyxis"
"867","Spurispirifer"
"868","Squamularia"
"869","Stegerhynchus"
"870","Stenorhynchia"
"871","Stenoscisma"
"872","Stepanoviina"
"873","Stricklandia"
"874","Stricklandiella"
"875","Strigirhynchia"
"876","Striispirifer"
"877","Stringocephalus"
"878","Strophopleura"
"879","Sturtella"
"880","Subansiria"
"881","Subcuspidella"
"882","Subrensselandia"
"883","Sufetirhyncha"
"884","Sulcatospirifer"
"885","Sulcicosta"
"886","Sulciplica"
"887","Sulcispiriferina"
"888","Supertrilobus"
"889","Syntrophopsis"
"890","Sypharatrypa"
"891","Syrella"
"892","Syringospira"
"893","Syringothyris"
"894","Tabellina"
"895","Tadschikia"
"896","Tafilaltia"
"897","Taimyrella"
"898","Taimyrrhynx"
"899","Talentella"
"900","Tangshanella"
"901","Taphrorthis"
"902","Tautosia"
"903","Tazzarinia"
"904","Tecnocyrtina"
"905","Tegulispirifer"
"906","Tegulocrea"
"907","Teichertina"
"908","Tenellodermis"
"909","Tenticospirifer"
"910","Tenuisinurostrum"
"911","Terebratuloidea"
"912","Tetracamera"
"913","Tetractinella"
"914","Tetratomia"
"915","Texarina"
"916","Thebesia"
"917","Thedusia"
"918","Theodossia"
"919","Thiemella"
"920","Thliborhynchia"
"921","Tigillumia"
"922","Timaniella"
"923","Timorina"
"924","Tipispirifer"
"925","Tiramnia"
"926","Tissintia"
"927","Titanothyris"
"928","Togatrypa"
"929","Tomiopsis"
"930","Tongzithyris"
"931","Torynechus"
"932","Torynifer"
"933","Toryniferella"
"934","Toxorthis"
"935","Trematospira"
"936","Tricoria"
"937","Trifidorostellum"
"938","Trigonatrypa"
"939","Trigonirhynchia"
"940","Trigonotreta"
"941","Trophisina"
"942","Tropidoleptus"
"943","Trucizetina"
"944","Tumarinia"
"945","Tyersella"
"946","Tylothyris"
"947","Uchtella"
"948","Uchtospirifer"
"949","Uncinella"
"950","Uncinulus"
"951","Uncinunellina"
"952","Uncites"
"953","Undatrypa"
"954","Undispirifer"
"955","Unispirifer"
"956","Uralospirifer"
"957","Vagrania"
"958","Valcourea"
"959","Vallomyonia"
"960","Vandercammenina"
"961","Variatrypa"
"962","Verkhotomia"
"963","Virgiana"
"964","Visbyella"
"965","Voiseyella"
"966","Vosmiverstum"
"967","Waiotrypa"
"968","Wangyuia"
"969","Warrenella"
"970","Wellerella"
"971","Werneckeella"
"972","Westbroekina"
"973","Whitfieldella"
"974","Whitspakia"
"975","Wilberrya"
"976","Wilsoniella"
"977","Woolagia"
"978","Xana"
"979","Xenomartinia"
"980","Xenosaria"
"981","Xenospirifer"
"982","Xerospirifer"
"983","Xestotrema"
"984","Xizispirifer"
"985","Yangtzeella"
"986","Yaonoiella"
"987","Yochelsonia"
"988","Yukonospirifer"
"989","Yunnanella"
"990","Zdimir"
"991","Zdimirella"
"992","Zeravshanotoechia"
"993","Zeugopleura"
"994","Zhejiangospirifer"
"995","Zlichopyramis"
"996","Zygatrypa"
"997","Zygospira"
"998","Zygospiraella"
